"scale_0";"scale_1";"nuggetFactor";"amplitude_0"
2.7349605489928699e+01;6.1334518730175547e-01;3.3386882311440047e-02;1.6628381559949662e-01
2.5131903350749774e+01;1.1910551516689067e+00;2.0810031781614668e-02;5.7462915672059793e-02
2.8010716800768066e+01;6.5798791370666732e-01;1.5485785854032486e-02;2.1468674016364736e-01
2.7149401735170393e+01;6.0466533982402382e-01;1.2574573503684405e-02;2.1464567930076156e-01
4.4741616819224205e+01;6.4402856141282161e-01;3.9408401991087771e-01;4.4912950440181662e-02
2.6337844991351297e+01;9.4029386214680399e-01;2.8877031519108698e-02;1.8546285270784990e-01
2.7416272753559241e+01;4.9936312456086462e-01;2.9870775419624351e-02;1.6944825818117820e-01
2.3028248580589164e+01;1.3177819411410929e+00;1.9370821556115914e-02;1.2799439823970796e-01
2.0273926368419346e+01;1.1518083135609105e+00;1.7497938442822658e-01;9.6072020413134437e-02
2.3282345079429415e+01;1.5844029253849727e+00;2.3139461845836706e-02;7.4736782483498576e-02
2.3575691197283625e+01;1.2635988484823546e+00;1.7427628860325228e-02;2.6953281077754443e-01
2.4588315638251128e+01;9.1622383887872705e-01;2.6641546030504060e-02;2.2196770548263117e-01
2.5204000972635175e+01;1.2069501998598009e+00;1.7456222682085354e-02;2.8556512921687860e-01
4.0276373761267543e+01;6.6061135171861673e-01;1.3246154427548760e+00;3.5874946441094471e-02
2.2525297699753185e+01;2.7106550899733250e-01;1.6139229843872727e-02;8.4516726529376418e-02
2.2557976116092739e+01;1.1195434807618359e+00;7.2176243750583069e-02;1.3901967552376504e-01
2.6338204323811734e+01;5.2659216773205886e-01;1.6700303502489078e-02;2.0204629192204840e-01
2.2951042463006257e+01;1.3076739848012942e+00;1.8098329932350055e-02;1.0142600730378913e-01
2.4898003302160433e+01;1.0303343921133767e+00;3.7444248130256597e-02;2.2030828708423090e-02
1.7648094911268899e+01;7.7516789753302273e-01;4.9219979203113695e-01;6.0837267273596785e-02
2.1344973462868744e+01;1.1540466605759556e+00;9.2990557060289802e-02;1.2927175753764253e-01
2.5600531267845589e+01;5.4894280373159621e-01;1.4066098974062413e-02;1.7511060979351586e-01
2.6902141408030975e+01;6.4740593666244173e-01;1.1108994081183710e-02;2.1199534193714364e-01
1.7746235439261731e+01;2.4151802388975674e-01;2.5006732790842534e-02;1.2510140492912028e-01
2.1966682588959983e+01;5.8272538487320880e-01;1.1919608028243545e-02;3.0595187303208943e-01
2.8734488156353692e+01;5.4830378667465218e-01;1.0869309937355354e-02;2.1895243503858078e-01
5.0705511470880595e+01;3.7925205526937344e-01;7.3004702291967760e-04;6.1352560434285996e-01
2.1461960291212499e+01;9.5681807730083956e-01;8.1660605095954963e-02;1.1923298549740581e-01
2.6287759197912219e+01;5.0815182819427129e-01;1.9985447986584859e-02;1.9732612068324604e-01
2.2569312461593373e+01;4.8624428089332972e-01;3.8400418814177328e-03;1.3742462807388600e-01
2.3689307752452684e+01;1.1290148771798707e+00;2.9035817223238780e-02;3.9781803357636321e-02
