"EXP_39";"EXP_29";"EXP_42";"EXP_41";"EXP_3";"EXP_40";"EXP_38";"EXP_26";"EXP_1";"EXP_43";"EXP_7";"EXP_9";"EXP_8";"EXP_4";"EXP_19";"EXP_10";"EXP_17";"EXP_25";"EXP_45";"EXP_6";"EXP_2";"EXP_16";"EXP_13";"EXP_14";"EXP_11";"EXP_15";"EXP_12";"EXP_5";"EXP_18";"EXP_44";"EXP_28"
2.6045200000000002e-01;7.0102260000000000e-02;3.2119120000000001e-01;3.3403640000000001e-01;7.0378620000000003e-02;2.4879340000000000e-01;2.8485240000000001e-01;1.7233560000000001e-01;9.7995150000000003e-02;9.2907489999999995e-02;2.7606380000000003e-01;2.3983510000000000e-01;3.0386299999999999e-01;4.7346619999999999e-02;1.5863769999999999e-01;1.5313030000000000e-01;3.5849439999999999e-01;1.3432939999999999e-01;2.8354700000000000e-02;9.0889070000000002e-02;1.4888820000000000e-01;2.6514199999999999e-01;2.6454980000000000e-01;3.2686599999999999e-01;4.2320720000000001e-01;3.0738080000000001e-01;2.2594460000000000e-01;1.3944100000000001e-01;4.0337000000000001e-01;1.4901590000000001e-01;4.8397500000000003e-02
2.6386219999999999e-01;7.7215140000000002e-02;3.3174769999999998e-01;3.4573330000000002e-01;7.4069640000000006e-02;2.6157760000000002e-01;2.8921330000000001e-01;1.8869680000000000e-01;1.0167809999999999e-01;1.0425329999999999e-01;2.9369109999999998e-01;2.4921289999999999e-01;3.1325490000000000e-01;4.9687950000000002e-02;1.7867440000000001e-01;1.7251420000000001e-01;3.7485299999999999e-01;1.5219820000000001e-01;3.8117190000000002e-02;9.9252049999999994e-02;1.5265719999999999e-01;2.8525750000000000e-01;2.8507480000000002e-01;3.4458100000000003e-01;4.3023270000000002e-01;3.2215310000000003e-01;2.4920290000000000e-01;1.5143850000000000e-01;4.1833989999999999e-01;1.6649140000000001e-01;6.2562919999999994e-02
1.3058470000000000e-01;3.2946419999999997e-02;1.7523500000000000e-01;2.1029370000000000e-01;2.4847270000000001e-02;9.6171030000000005e-02;1.6524459999999999e-01;8.0263730000000005e-02;3.1335219999999997e-02;4.0461579999999997e-02;1.0477830000000000e-01;9.4733419999999999e-02;1.1392919999999999e-01;1.5925180000000001e-02;1.0753020000000001e-01;4.6369250000000001e-02;2.1537590000000001e-01;6.7713899999999994e-02;1.8128680000000001e-02;2.9568259999999999e-02;4.4694919999999999e-02;1.4882319999999999e-01;1.3988200000000001e-01;2.2372439999999999e-01;2.4336579999999999e-01;1.7465159999999999e-01;1.9127490000000000e-01;3.9671249999999998e-02;2.5151889999999999e-01;1.0485079999999999e-01;2.7492670000000000e-02
1.3110310000000000e-01;2.5872170000000000e-02;1.9420709999999999e-01;2.1178449999999999e-01;1.8595330000000000e-02;1.1545970000000000e-01;1.5496889999999999e-01;7.6519649999999995e-02;2.2447550000000000e-02;3.2963020000000003e-02;1.0441960000000000e-01;8.3836980000000005e-02;1.2314450000000000e-01;1.1036839999999999e-02;7.7446589999999996e-02;3.6687549999999999e-02;2.3347630000000000e-01;5.8099760000000000e-02;1.1111859999999999e-02;2.1124850000000001e-02;3.4445509999999999e-02;1.4030709999999999e-01;1.3249549999999999e-01;2.1018360000000000e-01;2.5501770000000001e-01;1.8302030000000000e-01;1.4120430000000000e-01;2.9850530000000000e-02;2.8097889999999998e-01;7.4618470000000006e-02;1.9006760000000001e-02
2.7409879999999998e-01;6.0615629999999997e-02;3.1282840000000001e-01;3.2265050000000001e-01;7.3851799999999995e-02;2.4071770000000001e-01;2.9909449999999999e-01;1.5381400000000001e-01;1.0198500000000001e-01;8.1410960000000004e-02;2.7304940000000000e-01;2.0611250000000000e-01;3.0323070000000002e-01;5.0672849999999998e-02;1.3260159999999999e-01;1.5143180000000001e-01;3.2942650000000001e-01;1.1839490000000000e-01;2.2438480000000000e-02;8.8978249999999995e-02;1.6357869999999999e-01;2.3862760000000000e-01;2.3824370000000000e-01;3.0062749999999999e-01;4.0193020000000002e-01;2.8433039999999998e-01;1.9686170000000000e-01;1.4598800000000001e-01;3.7405759999999999e-01;1.2534840000000000e-01;4.3192910000000001e-02
9.5998459999999994e-02;1.5282130000000000e-02;1.5063599999999999e-01;1.6743020000000000e-01;8.6013879999999997e-03;8.3512400000000001e-02;1.1752380000000000e-01;5.9933729999999998e-02;1.2452400000000001e-02;2.5244340000000001e-02;7.3073970000000002e-02;4.8940640000000001e-02;8.3883460000000007e-02;5.5448790000000000e-03;3.8679570000000003e-02;1.7105550000000001e-02;1.6704020000000000e-01;4.4628149999999998e-02;7.5179230000000001e-03;1.0349850000000001e-02;1.6305509999999999e-02;8.7399969999999993e-02;8.3440799999999996e-02;1.4324339999999999e-01;1.9611350000000000e-01;1.1815410000000000e-01;8.9532760000000003e-02;1.1430569999999999e-02;2.1414710000000001e-01;5.7437160000000001e-02;1.1712360000000000e-02
7.8521079999999993e-02;1.4742109999999999e-02;1.2585470000000001e-01;1.4789649999999999e-01;1.0295560000000000e-02;6.2843239999999995e-02;1.0107500000000000e-01;5.0780400000000003e-02;1.5251809999999999e-02;2.0680649999999998e-02;6.4248139999999995e-02;4.3756749999999997e-02;6.6074789999999994e-02;6.5205840000000003e-03;4.6361600000000003e-02;2.1103050000000002e-02;1.5550130000000001e-01;3.9515670000000003e-02;7.9548699999999993e-03;1.1785310000000000e-02;1.7760390000000001e-02;8.6026800000000000e-02;8.1335430000000000e-02;1.4229849999999999e-01;1.5674399999999999e-01;1.1007860000000000e-01;1.0558020000000000e-01;1.4317290000000000e-02;1.9823530000000000e-01;5.6639820000000000e-02;1.2294130000000000e-02
2.5904389999999999e-01;5.2049819999999997e-02;2.8637469999999998e-01;2.9509970000000002e-01;6.4331059999999995e-02;2.0981849999999999e-01;2.8248319999999999e-01;1.2848370000000001e-01;9.1397889999999996e-02;6.6285730000000001e-02;2.3536760000000001e-01;2.0011599999999999e-01;2.6861309999999999e-01;4.3848489999999997e-02;1.0207300000000000e-01;1.3386290000000001e-01;2.9283979999999998e-01;9.8908940000000001e-02;2.0291890000000000e-02;8.4462300000000004e-02;1.3947090000000001e-01;1.9858439999999999e-01;1.9626669999999999e-01;2.6017530000000000e-01;3.7939299999999998e-01;2.4687290000000001e-01;1.5935040000000000e-01;1.2493040000000000e-01;3.4192339999999999e-01;1.0226979999999999e-01;3.8605750000000001e-02
2.8208650000000002e-01;6.0843889999999998e-02;3.1710610000000000e-01;3.2619860000000001e-01;7.5989399999999999e-02;2.4459790000000001e-01;3.0716670000000001e-01;1.5304750000000000e-01;1.1691459999999999e-01;8.0920900000000004e-02;2.7797169999999999e-01;2.1000360000000001e-01;3.0943840000000000e-01;5.4664860000000003e-02;1.4372879999999999e-01;1.6020270000000000e-01;3.3786450000000001e-01;1.1644160000000001e-01;2.0952470000000001e-02;9.2210440000000005e-02;1.7234659999999999e-01;2.4726160000000000e-01;2.4453159999999999e-01;3.0818060000000003e-01;4.0669129999999998e-01;2.9305360000000003e-01;2.0137690000000000e-01;1.5077399999999999e-01;3.8214939999999997e-01;1.2316630000000001e-01;4.2637880000000003e-02
4.4343149999999998e-02;1.3678890000000001e-02;7.4779789999999999e-02;8.9259500000000006e-02;5.2913179999999997e-03;3.4458259999999998e-02;5.0694810000000000e-02;5.5333489999999999e-02;5.5400540000000000e-03;2.9153970000000001e-02;4.1332220000000003e-02;2.2006709999999999e-02;3.7305129999999999e-02;4.0870289999999998e-03;2.7103740000000001e-02;9.1327920000000007e-03;1.0870190000000000e-01;4.5121509999999997e-02;9.5196929999999992e-03;8.0426869999999998e-03;6.8975590000000002e-03;5.2860799999999999e-02;4.5525450000000002e-02;7.6520249999999998e-02;8.9838299999999996e-02;5.7178819999999998e-02;4.1641339999999999e-02;5.3049799999999999e-03;1.4571500000000001e-01;5.1497160000000000e-02;1.3056920000000000e-02
