"Year","Race time"
1972,241.37115072933548
1973,244.6158833063209
1974,242.30145867098867
1975,246.0
1976,235.9935170178282
1977,242.709886547812
1978,238.98865478119936
1979,237.3776337115073
1980,232.43111831442462
1981,237.76337115072934
1982,234.22366288492708
1983,237.08265802269042
1984,236.58346839546192
1985,237.19611021069693
1986,236.6515397082658
1987,238.53484602917342
1988,233.9059967585089
1989,239.19286871961103
1990,238.6482982171799
1991,239.14748784440843
1992,235.2674230145867
