"wave","surge"
1.5,-0.009
1.83,-0.053
2.44,-0.024
1.68,0
1.49,0.079
1.2,0.068
1.35,-0.009
1.15,-0.003
1.2,0.011
1.07,0.024
1.72,0.029
1.18,0.094
0.97,0.091
2.12,0.101
2.26,0.147
1.1,0.124
1.31,0.14
1.53,0.121
2.51,0.047
2.07,0.046
1.6,0.002
1.17,-0.028
1.45,0.013
0.7,0.032
2.01,0.153
2.28,0.141
1.95,0.122
1.32,0.167
0.88,0.119
0.48,0.088
0.78,0.062
0.83,0.074
1.14,0.125
1.91,0.215
1.48,0.238
2.01,0.27
1.73,0.322
2.76,0.319
2.94,0.251
2.2,0.231
1.93,0.134
1.74,0.137
1.44,0.042
1.05,0.021
1.16,-0.003
2.72,0.023
2.67,0.039
1.72,0.113
2.39,-0.019
1.83,0.066
2.35,0.144
2.16,0.087
2.18,0.177
2.47,0.241
4.37,0.166
3.04,0.27
3.56,0.306
3.32,0.246
2.59,0.235
2.07,0.171
1.91,0.071
1.46,0.085
2.46,0.064
1.97,0.119
4.23,0.249
3.37,0.2
1.91,0.123
2.43,0.242
2.4,0.265
3.73,0.281
2.94,0.326
2.4,0.244
2.63,0.117
1.58,0.17
0.94,0.059
1.49,0.085
2.01,0.187
2.61,0.196
1.59,0.221
1.42,0.217
1.39,0.202
1.51,0.133
1.88,0.123
2.24,0.062
2.42,0.061
2,0.124
1.78,0.064
1.15,-0.008
1.41,0.041
1.41,0.133
1.21,0.076
2.24,0.112
2.64,0.044
3.17,0.047
2.47,0.129
2.54,0.065
2.21,0.069
2.8,0.045
2.65,0.005
3.91,-0.018
4.18,0.035
3.14,0.033
2.02,-0.031
2.16,0.041
2.64,-0.042
1.84,0.044
1.85,0.038
1.82,0.072
1.95,0.046
2.12,0.096
1.69,0.126
1.77,0.163
1.94,0.215
1.78,0.222
1.37,0.247
2.65,0.25
2.4,0.195
2.13,0.106
1.68,0.098
1.01,0.08
1.08,0.043
1.13,0.035
1.19,0.03
1.15,0.003
1.29,0.035
1.44,0.021
1.45,0.071
1.57,0.052
1.32,-0.017
1.02,-0.027
1.27,0.006
1.25,0.034
1.22,0.052
1.19,0.091
1.2,0.075
2.23,0.104
1.99,0.072
1.79,0.058
1.64,0.134
4.38,0.121
4.93,0.055
3.29,0.037
1.55,0.081
1.47,0.065
1.94,0.01
2.3,-0.032
2.51,0.003
2.24,-0.035
1.58,0.034
1.37,0.05
3.16,-0.022
2.37,-0.011
2.04,-0.002
2.14,0.041
2.39,-0.05
1.83,-0.02
1.83,0.044
2.18,0.085
1.79,0.074
1.76,0.16
1.07,0.097
1.41,0.109
2.56,0.139
3.04,0.245
2.26,0.188
2.45,0.127
1.79,0.193
3.44,0.159
2.3,0.044
3.61,0.158
4.42,0.147
3.05,0.024
3.59,0.092
4.72,0.055
5.38,0
6.38,0.201
5.65,0.259
4.99,-0.025
3.52,-0.033
4.68,-0.037
3.38,-0.055
3.74,0.069
3.8,0.093
3.03,0.021
2.18,0.071
1.88,0.028
1.34,0.049
2.5,0.049
2.35,0.031
1.92,0.042
2.2,0.103
2.17,0.08
3.36,0.022
2.84,0.081
3,0.034
2.52,0.014
1.74,0.018
3.14,0.011
2.64,-0.046
3.44,-0.073
2.85,0
2.19,-0.039
3.22,0.154
3.85,0.195
3.72,0.128
5.2,0.091
2.86,0.17
3.75,0.183
5.82,0.09
4.99,-0.028
4.44,-0.042
3.6,-0.191
1.4,-0.176
1.24,-0.116
1.74,-0.102
2.05,-0.151
4.21,-0.101
3.01,-0.092
1.76,-0.215
1.5,-0.199
2.51,-0.193
2.7,-0.018
2.4,-0.044
3.61,-0.117
4.13,-0.062
5.24,-0.063
3.01,-0.176
4.08,0.063
6.75,0.006
7.28,-0.072
5.89,-0.048
4.93,-0.008
4.63,0.041
3.22,0.046
2.1,-0.042
1.9,0.014
1.57,-0.009
1.06,-0.02
1.87,0.101
3.44,0.11
4.4,0.08
4.23,0.146
4.96,0.249
5.15,0.006
5.27,-0.027
3.08,0.157
4.55,0.101
3.87,-0.026
3.33,-0.056
2.15,-0.098
1.9,-0.051
1.86,-0.003
3.05,-0.03
2.78,-0.123
2.35,-0.178
1.84,-0.214
1.5,-0.227
1.43,-0.325
2.41,-0.276
1.86,-0.233
1.71,-0.232
1.39,-0.274
1.8,-0.167
1.82,-0.218
2.97,-0.048
3.58,-0.059
3.52,-0.136
5.65,-0.186
4.5,-0.04
4.45,0.048
